nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles
nm0054697,Ike Barinholtz,Ike,Barinholtz,1977,\N,"actor,producer,writer","tt1213644,tt2004420,tt2211129,tt1386697"
nm3043279,Vicky Krieps,Vicky,Krieps,1983,\N,"actress,soundtrack,producer","tt0993842,tt4005402,tt5776858,tt10954652"
nm1102577,Elle Fanning,Elle,Fanning,1998,\N,"actress,producer,soundtrack","tt5592248,tt1421051,tt1650062,tt1974419"
nm1947975,Angus Sutherland,Angus,Sutherland,1982,\N,"actor,producer,miscellaneous","tt8579674,tt3266284,tt1458169,tt1860355"
nm4168033,Jeff Pierre,Jeff,Pierre,\N,\N,actor,"tt11006642,tt14187794,tt1586680,tt2005151"
nm1185747,Cameron Monaghan,Cameron,Monaghan,1993,\N,"actor,soundtrack,miscellaneous","tt3749900,tt0389860,tt0435651,tt1686821"
nm0000671,Billy Bob Thornton,Billy,Bob Thornton,1955,\N,"actor,writer,soundtrack","tt0120324,tt0243133,tt0117666,tt0120591"
nm0364744,Hank Harris,Hank,Harris,\N,\N,"actor,writer,producer","tt0356159,tt0120749,tt2226417,tt0265591"
nm2088684,François Sagat,François,Sagat,1979,\N,"actor,director,writer","tt0922487,tt5434338,tt0497089,tt1233227"
nm0001749,Maggie Smith,Maggie,Smith,1934,\N,"actress,soundtrack","tt0091867,tt0280707,tt0074937,tt1412386"
nm0097265,David Borowicz,David,Borowicz,\N,\N,"actor,producer,special_effects","tt0288244,tt0307292,tt0274509,tt0439532"
nm6530926,Zachary Whitmore,Zachary,Whitmore,\N,\N,"animation_department,director,actor","tt8310048,tt0292805,tt10607088,tt11171140"
nm0141682,Jason Carter,Jason,Carter,1960,\N,"actor,producer,writer","tt1474778,tt0105946,tt0207250,tt0306719"
nm3255459,Jillian Bell,Jillian,Bell,1984,\N,"actress,writer,producer","tt4799050,tt2294449,tt1791528,tt1711525"
nm2347844,Eduan van Jaarsveldt,Eduan van,Jaarsveldt,\N,\N,"actor,writer,producer","tt2915232,tt2304771,tt3510718,tt0468565"
nm0004829,Spencer Treat Clark,Spencer,Treat Clark,1987,\N,"actor,producer","tt5574490,tt0172495,tt0327056,tt2364582"
nm1453388,Brian Rohan,Brian,Rohan,\N,\N,"actor,art_department","tt6950200,tt5186076,tt6904432,tt6938596"
nm2053772,Pieter Van Nieuwenhuyze,Pieter,Van Nieuwenhuyze,\N,\N,actor,"tt0217205,tt12603936,tt1442562,tt0481273"
nm0011129,Kimberly Deauna Adams,Kimberly,Deauna Adams,\N,\N,actress,tt0118798
nm0365755,Matthew Harrison,Matthew,Harrison,1968,\N,"actor,director,producer","tt0409459,tt0245674,tt0477347,tt0165929"
nm0001462,Jason Scott Lee,Jason,Scott Lee,1966,\N,actor,"tt4566758,tt0096874,tt0106770,tt0275847"
nm0183613,Michael Countryman,Michael,Countryman,1955,\N,actor,"tt0887883,tt0892255,tt0265087,tt0465538"
nm3462228,Blake Freeman,Blake,Freeman,\N,\N,"writer,director,producer","tt1893400,tt2312184,tt27630343,tt1612317"
nm2661281,Jean Pierre Harerimana,Jean,Pierre Harerimana,\N,\N,"actor,cinematographer","tt12665518,tt1031947"
