nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race
nm3769935,Luke Vanek,Luke,Vanek,\N,\N,actor,"tt2262255,tt0790628,tt2172337,tt2535732",0.003188477,0.0023823278,0.0013857399,0.011574859,0.0020333568,0.4324474,0.15016693,0.1542452,0.03545786,0.14992964,0.0063099526,0.027739603,0.02313865,"GreaterEuropean,British"
nm0915208,Naomi Watts,Naomi,Watts,1968,\N,"actress,producer,soundtrack","tt0360717,tt2562232,tt0166924,tt1649419",0.00795511,0.0039567673,0.031810224,0.03882132,0.021394948,0.804853,0.0035302239,0.023326186,0.026924057,0.0056808195,0.022198915,0.008129103,0.0014192091,"GreaterEuropean,British"
nm1036204,Mick Weber,Mick,Weber,\N,\N,"actor,director,writer","tt0098844,tt0208196,tt2920086,tt3089678",0.0062090834,0.0065147877,0.0028830438,0.004230808,0.0019643316,0.6535252,0.0027017803,0.1563142,0.124116436,0.028846908,0.007352898,0.0036484457,0.0016921344,"GreaterEuropean,British"
nm0002128,Tess Harper,Tess,Harper,1950,\N,actress,"tt9243946,tt0477348,tt0090886,tt0086423",0.0012662458,0.0010094545,0.0019052678,0.004590644,0.0023649358,0.9433568,0.00031954172,0.029682375,0.0021750636,0.0015633613,0.0024805206,0.0043885875,0.0048973197,"GreaterEuropean,British"
nm2603628,Alexander Brough,Alexander,Brough,\N,\N,"producer,actor,sound_department","tt2125467,tt3214448,tt12786756,tt0995051",0.025673203,0.0048487186,0.006724936,0.0062212218,0.002168444,0.85350436,0.021907538,0.020842548,0.026015645,0.009239172,0.012250768,0.0054390663,0.005164337,"GreaterEuropean,British"
nm0507073,Damian Lewis,Damian,Lewis,1971,\N,"actor,producer,soundtrack","tt0285531,tt7131622,tt1796960,tt0185906",0.00071202155,0.001128173,0.0007321902,0.0008814759,0.0043604984,0.83089536,0.0051732864,0.13977802,0.0044862917,0.0019350868,0.00378702,0.0054172575,0.00071338844,"GreaterEuropean,British"
nm2365515,Sarah Maine,Sarah,Maine,\N,\N,actress,"tt2181969,tt0866442,tt5545398,tt1561770",0.009134932,0.07860057,0.0054955147,0.03241895,0.027974961,0.6488949,0.0025358798,0.06714168,0.018852154,0.0019617842,0.008459646,0.09193256,0.006596458,"GreaterEuropean,British"
nm0648406,Sharon Omi,Sharon,Omi,\N,\N,"actress,producer","tt0360486,tt2274604,tt0343660,tt4998632",0.0052113216,0.03011957,0.054813165,0.035349984,0.09285651,0.10297759,0.013968426,0.5887455,0.01961336,0.0016493266,0.0065818564,0.047030617,0.001082832,"GreaterEuropean,Jewish"
nm0835001,Johnny Strong,Johnny,Strong,1974,\N,"actor,composer,writer","tt0265086,tt0232500,tt0208988,tt3007132",0.009815703,0.0027433774,0.00955916,0.005149296,0.0020171837,0.7922299,0.0038104847,0.06134096,0.03608892,0.012666354,0.012786514,0.03294294,0.018849114,"GreaterEuropean,British"
nm0769154,Alan Scarfe,Alan,Scarfe,1946,\N,actor,"tt0213327,tt0104714,tt0101764,tt0324864",0.0011138353,0.0011611197,0.0016729357,0.002464832,0.006533173,0.8836075,0.0025388612,0.055523228,0.007634241,0.0023409694,0.011147646,0.010974468,0.013287239,"GreaterEuropean,British"
nm7182217,Carly Adams,Carly,Adams,\N,\N,actress,"tt5212976,tt1485796,tt4503598",0.0067725396,0.0029947832,0.007876306,0.012806808,0.0028838865,0.7348372,0.009317221,0.058040846,0.03628038,0.025802912,0.08408098,0.012019769,0.0062864264,"GreaterEuropean,British"
nm0234807,Amanda Douge,Amanda,Douge,1976,\N,actress,"tt0094525,tt0111407,tt0112173,tt4192812",0.0017551465,0.00733603,0.0013424758,0.3085249,0.0010105638,0.5369263,0.0014172577,0.014362334,0.014049457,0.012183606,0.004974409,0.0023226116,0.09379493,"GreaterEuropean,British"
nm0584206,Sean Cameron Michael,Sean,Cameron Michael,\N,\N,"actor,producer,miscellaneous","tt4231502,tt2345759,tt4727422,tt2720680",0.008388248,0.027667921,0.000990056,0.0018701617,0.008144425,0.4592429,0.03440997,0.08893266,0.18562144,0.012171731,0.027280318,0.14366716,0.0016130677,"GreaterEuropean,British"
nm7752798,Frank Madigan,Frank,Madigan,\N,\N,actor,"tt7643056,tt2884018,tt5716464",0.0039558583,0.0021305277,0.0074893693,0.0069421413,0.004849075,0.76459205,0.004477535,0.07901354,0.041229352,0.04385226,0.004998246,0.019758426,0.01671148,"GreaterEuropean,British"
nm4296357,Blake Jenner,Blake,Jenner,1992,\N,"actor,soundtrack,producer","tt1327801,tt2937696,tt1878870,tt6212478",0.0025493146,0.0033904938,0.0022125314,0.0014886949,0.0018618007,0.5405079,0.0030013672,0.30605105,0.09672341,0.015616652,0.002225839,0.01869823,0.005672664,"GreaterEuropean,British"
nm0552025,Caitlin Martin,Caitlin,Martin,\N,\N,actress,"tt0258446,tt0274924,tt0321021,tt0203425",0.0085644005,0.0047028954,0.010808884,0.006376539,0.0032322418,0.6905159,0.013779499,0.047227923,0.11998055,0.0040710955,0.043026537,0.044691287,0.0030223478,"GreaterEuropean,British"
nm0001517,Catherine McCormack,Catherine,McCormack,1972,\N,"actress,director,writer","tt0266987,tt0463854,tt0112573,tt0318081",0.0031610695,0.00091860513,0.0025614435,0.002145687,0.0011821853,0.9415811,0.0002673555,0.009595983,0.017962093,0.0012617903,0.010224865,0.008173906,0.00096397754,"GreaterEuropean,British"
