budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
0,"Drama, Romance, War",56077,tt0120271,Talk of Angels,"{Kanzaman}, {Kan Zamia-a}, {Polaris Pictures}",US,1998-10-30,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
50000000,"Action, Drama, Thriller",9458,tt0118966,Desperate Measures,"{TriStar Pictures}, {Mandalay Entertainment}",US,1998-01-30,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Horror, Science Fiction, Thriller",9827,tt0119891,Phantoms,"{Miramax Films}, {Dimension Films}",US,1998-01-23,5624282,91,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,31535,tt0118836,Chairman of the Board,{101st Street Films},US,1998-03-13,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]"
6000000,"Comedy, Drama, Fantasy, Romance",10215,tt0120148,Sliding Doors,"{Paramount Pictures}, {Miramax Films}, {Intermedia Films}, {Mirage Enterprises}","GB, US",1998-04-23,58000000,99,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Comedy, Drama",37165,tt0120382,The Truman Show,"{Paramount Pictures}, {Scott Rudin Productions}",US,1998-06-04,264118201,103,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Drama, Romance",547,tt0119314,The Horse Whisperer,"{Wildwood Enterprises}, {Touchstone Pictures}",US,1998-05-14,186883563,170,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Comedy, Crime",115,tt0118715,The Big Lebowski,"{Gramercy Pictures}, {PolyGram Filmed Entertainment}, {Working Title Films}","GB, US",1998-03-06,46189568,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
25000000,"Comedy, Drama, Romance",9410,tt0119223,Great Expectations,"{Twentieth Century Fox Film Corporation}, {Art Linson Productions}",US,1998-01-19,55494066,111,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Comedy, Family",32302,tt0118539,3 Ninjas: High Noon at Mega Mountain,"{TriStar Pictures}, {Leeds/Ben-Ami Productions}, {Sheen Productions}",US,1998-04-10,0,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
0,"Drama, Thriller, Crime",88863,tt0119988,Caught Up,"{Live Entertainment}, {Heller Highwater Productions}",US,1998-02-27,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
19000000,"Action, Adventure, Thriller",41417,tt0120670,Firestorm,{Twentieth Century Fox Film Corporation},US,1998-01-08,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Romance",12538,tt0120820,Senseless,{Dimension Films},US,1998-02-20,13035599,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
27000000,"Mystery, Science Fiction",2666,tt0118929,Dark City,"{New Line Cinema}, {Mystery Clock Cinema}","AU, US",1998-02-27,27200316,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
70000000,Thriller,11258,tt0120696,Hard Rain,"{Paramount Pictures}, {Toho-Towa}, {Mutual Film Company}, {PolyGram Filmed Entertainment}, {Marubeni}, {Tele München Fernseh Produktionsgesellschaft (TMG)}, {UGC PH}, {British Broadcasting Corporation (BBC) Television}, {Stargate Studios}","DK, FR, NZ, GB, US",1998-01-16,19870567,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
8000000,"Comedy, Crime",9490,tt0120693,Half Baked,{Universal Pictures},US,1998-01-16,17460020,82,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]"
0,"Thriller, Fantasy, Crime, Drama",9411,tt0119099,Fallen,"{Atlas Entertainment}, {Turner Pictures (I)}",US,1998-01-16,25232289,124,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Fantasy, Horror, Thriller",9033,tt0118643,The Prophecy II,,US,1998-01-20,0,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
45000000,"Adventure, Action, Horror, Science Fiction",9457,tt0118956,Deep Rising,"{Hollywood Pictures}, {Cinergi Pictures Entertainment}, {Calimari Productions}","CA, US",1998-01-30,11203026,106,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Romance",39424,tt0119734,Music from Another Room,,US,1998-04-24,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]"
30000000,"Action, Drama, Crime, Thriller",11702,tt0120008,The Replacement Killers,{Columbia Pictures Corporation},US,1998-02-06,19204929,87,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,"Romance, Crime, Drama",2923,tt0120594,B. Monkey,"{Miramax Films}, {Synchronistic Pictures}, {Scala Productions}","GB, US",1998-11-07,0,94,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
28000000,"Music, Action, Comedy, Crime",11568,tt0118747,Blues Brothers 2000,{Universal Pictures},US,1998-02-05,14051384,123,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,66894,tt0120707,Ride,{Dimension Films},US,1998-03-27,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]"
18000000,"Romance, Comedy",11003,tt0120888,The Wedding Singer,"{New Line Cinema}, {Robert Simonds Productions}, {Juno Pix}",US,1998-02-13,123306987,95,"[{'iso_639_1': 'en', 'name': 'English'}]"
75000000,Science Fiction,10153,tt0120184,Sphere,"{Punch Productions}, {Warner Bros.}, {Baltimore Pictures}, {Constant c Productions}",US,1998-02-13,13100000,134,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Mystery, Thriller, Drama, Romance, Crime",30949,tt0120782,Palmetto,"{Castle Rock Entertainment}, {Columbia Pictures Corporation}, {Rialto Films}, {Code Entertainment}","DE, US",1998-02-20,0,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
0,"Drama, Crime, Mystery, Thriller",26269,tt0119594,Twilight,"{Paramount Pictures}, {Scott Rudin Productions}, {Cinehaus}",US,1998-03-06,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Thriller, Crime, Action",11808,tt0120873,U.S. Marshals,"{Kopelson Entertainment}, {Warner Bros.}",US,1998-03-06,102367405,131,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Adventure,36943,tt0140282,In God's Hands,"{TriStar Pictures}, {Triumph Films}",US,1998-04-24,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Thriller",17941,tt0118744,Hush,{TriStar Pictures},US,1998-03-06,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Drama",9313,tt0120744,The Man in the Iron Mask,{United Artists Corporation},"GB, US",1998-03-12,0,132,"[{'iso_639_1': 'en', 'name': 'English'}]"
27000000,"Crime, Action, Drama",42807,tt0120769,The Newton Boys,"{Twentieth Century Fox Film Corporation}, {Detour Filmproduction}",US,1998-03-26,76000000,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
20000000,Thriller,617,tt0120890,Wild Things,{Mandalay Entertainment},US,1998-03-20,67200000,108,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Family",36568,tt0125454,Paulie,"{DreamWorks SKG}, {Mutual Film Company}",US,1998-04-17,0,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
0,"Drama, Romance",37272,tt0120642,"A Cool, Dry Place","{Fox 2000 Pictures}, {Jacobs/Mutrux}",US,1998-01-29,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
65000000,"Comedy, Drama",9440,tt0119942,Primary Colors,"{Universal Pictures}, {Mutual Film Company}","FR, DE, JP, GB, US",1998-03-20,0,143,"[{'iso_639_1': 'en', 'name': 'English'}]"
6000000,"Comedy, Drama, Family",32911,tt0120510,Wide Awake,"{Miramax Films}, {Woods Entertainment}",US,1998-03-20,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Romance",44308,tt0120793,A Price Above Rubies,{Miramax Films},"GB, US",1998-03-26,1081957,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
0,"Drama, Comedy, Romance",93350,tt0119560,No Looking Back,"{Wildwood Enterprises}, {PolyGram Filmed Entertainment}, {Good Machine}, {Marlboro Road Gang Productions}",US,1998-03-27,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
147773,"Drama, Romance",32144,tt0120108,The Proposition,"{PolyGram Filmed Entertainment}, {Interscope Communications}",US,1998-03-26,0,110,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Comedy, Drama, Romance",17127,tt0120772,The Object of My Affection,{Twentieth Century Fox Film Corporation},US,1998-04-17,46905889,111,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,19848,tt0119905,The Players Club,{New Line Cinema},US,1998-04-08,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]"
80000000,"Adventure, Family, Science Fiction",2157,tt0120738,Lost in Space,"{New Line Cinema}, {Irwin Allen Productions}, {Prelude Pictures}, {Saltire Entertainment}",US,1998-04-03,136159423,130,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Action, Crime, Drama, Thriller",8838,tt0120749,Mercury Rising,"{Imagine Entertainment}, {Universal Pictures}",US,1998-04-03,0,111,"[{'iso_639_1': 'en', 'name': 'English'}]"
55000000,"Drama, Fantasy, Romance",795,tt0120632,City of Angels,"{Atlas Entertainment}, {Regency Enterprises}, {Monarchy Enterprises B.V.}, {Warner Bros.}, {Taurus Film}","US, DE",1998-04-10,198685114,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pl', 'name': 'Polski'}]"
8000000,"Comedy, Drama, Romance",16980,tt0120728,The Last Days of Disco,"{Castle Rock Entertainment}, {PolyGram Filmed Entertainment}, {Westerly Films}",US,1998-05-29,0,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Adventure, Comedy",27472,tt0120773,The Odd Couple II,{Paramount Pictures},US,1998-04-09,0,97,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
25000000,Drama,9469,tt0124718,He Got Game,"{40 Acres & A Mule Filmworks}, {Touchstone Pictures}",US,1998-05-01,21567853,136,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Thriller,12488,tt0119196,The Gingerbread Man,"{Island Pictures}, {Enchanter Entertainment}",US,1998-01-23,0,114,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Adventure, Family",81367,tt0120213,Slappy and the Stinkers,{TriStar Pictures},US,1998-01-23,0,78,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
5000000,"Comedy, Crime, Mystery, Thriller",16148,tt0120906,Zero Effect,"{Castle Rock Entertainment}, {Columbia Pictures Corporation}, {Manifest Film Company}",US,1998-01-30,1980338,116,"[{'iso_639_1': 'en', 'name': 'English'}]"
67000,"Drama, Comedy, Romance",188870,tt0119508,Leather Jacket Love Story,"{Here Studios}, {Leather Jacket Productions}, {Goldeco Pictures}",US,1998-02-20,0,85,"[{'iso_639_1': 'en', 'name': 'English'}]"
10000000,Comedy,78149,tt0118577,"An Alan Smithee Film: Burn, Hollywood, Burn","{Hollywood Pictures}, {Cinergi Pictures Entertainment}",US,1998-02-20,45779,86,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
0,"Comedy, Romance",15513,tt0120723,Kissing a Fool,{Universal Pictures},US,1998-02-27,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Family",31220,tt0120725,Krippendorf's Tribe,{Touchstone Pictures},US,1998-02-27,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
35000000,"Science Fiction, Action, Horror",10216,tt0120841,Species II,{Metro-Goldwyn-Mayer (MGM)},US,1998-04-10,19165560,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,9771,tt0120742,Major League: Back to the Minors,"{Warner Bros.}, {Morgan Creek Productions}",US,1998-04-17,3572443,107,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
13000000,"Action, Adventure, Comedy, Thriller",9448,tt0120609,The Big Hit,{TriStar Pictures},US,1998-04-24,27007143,91,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure",38618,tt0120856,Tarzan and the Lost City,"{Village Roadshow Pictures}, {Dieter Geissler Filmproduktion}, {Film Afrika Worldwide}, {Clipsal Films}, {Alta Vista}","AU, DE, US",1998-04-24,0,83,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Thriller",18316,tt0120610,Black Dog,{Universal Pictures},"FR, DE, JP, GB, US",1998-05-01,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Family",78373,tt0118925,"Dancer, Texas Pop. 81","{HSX Films}, {Chase Productions}",US,1998-05-01,565592,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Crime, Drama, History, Romance",4415,tt0119683,Les Misérables,{Columbia Pictures},US,1998-05-01,14096321,134,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]"
75000000,"Action, Drama, Romance",8656,tt0120647,Deep Impact,"{Paramount Pictures}, {DreamWorks SKG}, {Zanuck/Brown Productions}, {Manhattan Project}",US,1998-05-08,140464664,120,"[{'iso_639_1': 'en', 'name': 'English'}]"
13000000,"Comedy, Romance",58680,tt0120531,Woo,"{New Line Cinema}, {New Deal Productions}, {Gotham Entertainment Group}",US,1998-05-08,8026971,84,"[{'iso_639_1': 'en', 'name': 'English'}]"
130000000,"Science Fiction, Action, Thriller",929,tt0120685,Godzilla,"{TriStar Pictures}, {Centropolis Film Productions}, {Toho Company}, {Independent Pictures (II)}, {Fried Films}",US,1998-05-20,379014294,139,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]"
30000000,"Comedy, Drama",9452,tt0118798,Bulworth,{Twentieth Century Fox Film Corporation},US,1998-05-15,29202884,108,"[{'iso_639_1': 'en', 'name': 'English'}]"
18500000,"Adventure, Drama, Comedy",1878,tt0120669,Fear and Loathing in Las Vegas,"{Universal Pictures}, {Summit Entertainment}, {Rhino Films}, {Fear and Loathing LLC}, {Shark Productions}",US,1998-05-22,10680275,118,"[{'iso_639_1': 'en', 'name': 'English'}]"
5000000,"Comedy, Drama",9844,tt0120777,The Opposite of Sex,,US,1998-05-22,5879254,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Comedy",40505,tt0131436,I Got the Hook Up,"{Dimension Films}, {No Limit Films}",US,1998-05-27,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Comedy, Western",14342,tt0119053,Almost Heroes,"{DiNovi Pictures}, {Turner Pictures (I)}",US,1998-05-29,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Romance",9715,tt0119313,Hope Floats,"{Twentieth Century Fox Film Corporation}, {Fortis Films}",US,1998-05-29,0,114,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,"Crime, Thriller, Drama",1965,tt0120787,A Perfect Murder,"{Kopelson Entertainment}, {Warner Bros.}",US,1998-06-05,128038368,107,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]"
70000000,"Action, Adventure, Comedy, Romance",6068,tt0120828,Six Days Seven Nights,"{Caravan Pictures}, {Roger Birnbaum Productions}, {Northern Lights Entertainment}, {Touchstone Pictures}",US,1998-06-12,164000000,98,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]"
10000000,"Comedy, Drama, Romance",15037,tt0127723,Can't Hardly Wait,{Columbia Pictures},US,1998-06-12,25605015,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Romance",37636,tt0139362,High Art,"{October Films}, {Antidote Films (I)}, {391 Productions}",US,1998-06-12,1929168,101,"[{'iso_639_1': 'en', 'name': 'English'}]"
66000000,"Mystery, Science Fiction, Thriller",846,tt0120902,The X Files,"{Twentieth Century Fox Film Corporation}, {Ten Thirteen Productions}","CA, US",1998-06-19,189198313,121,"[{'iso_639_1': 'en', 'name': 'English'}]"
71000000,"Comedy, Family, Fantasy",3050,tt0118998,Doctor Dolittle,"{Twentieth Century Fox Film Corporation}, {Joseph M. Singer Entertainment}, {Davis Entertainment}",US,1998-06-22,294456605,85,"[{'iso_639_1': 'en', 'name': 'English'}]"
48000000,"Romance, Comedy, Crime",1389,tt0120780,Out of Sight,"{Universal Pictures}, {Jersey Films}",US,1998-06-26,77745568,123,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Comedy",20862,tt0120321,Smoke Signals,"{Miramax Films}, {ShadowCatcher Entertainment}","CA, US",1998-01-16,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
1500000,"Romance, Comedy, Crime, Drama",9464,tt0118789,Buffalo '66,,US,1998-01-20,2375097,110,"[{'iso_639_1': 'en', 'name': 'English'}]"
140000000,"Action, Thriller, Science Fiction, Adventure",95,tt0120591,Armageddon,"{Jerry Bruckheimer Films}, {Touchstone Pictures}, {Valhalla Motion Pictures}",US,1998-07-01,553799566,151,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]"
140000000,"Action, Adventure, Comedy, Crime, Thriller",944,tt0122151,Lethal Weapon 4,"{Silver Pictures}, {Donner/Shuler-Donner Productions}, {Warner Bros.}",US,1998-07-10,285444603,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
0,"Comedy, Drama, Family",35680,tt0123987,Madeline,{TriStar Pictures},"US, FR",1998-07-10,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
40000000,"Comedy, Adventure, Fantasy, Science Fiction, Action",11551,tt0122718,Small Soldiers,"{Universal Pictures}, {Amblin Entertainment}, {DreamWorks Pictures}",US,1998-07-10,54682547,110,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'es', 'name': 'Español'}]"
60000,"Mystery, Drama, Thriller",473,tt0138704,Pi,"{Truth and Soul Pictures Inc}, {Protozoa Pictures}, {Harvest Filmworks}, {Plantain Films}",US,1998-07-10,3221152,84,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,102304,tt0140688,Whatever,"{Circle Films}, {DuArt}, {Anyway Productions}",US,1998-07-10,0,112,"[{'iso_639_1': 'en', 'name': 'English'}]"
23000000,"Romance, Comedy",544,tt0129387,There's Something About Mary,{Twentieth Century Fox Film Corporation},US,1998-07-15,369884651,119,"[{'iso_639_1': 'en', 'name': 'English'}]"
95000000,"Action, Adventure",9342,tt0120746,The Mask of Zorro,"{Amblin Entertainment}, {TriStar Pictures}",US,1998-07-16,250288523,136,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama",38509,tt0119910,Polish Wedding,"{Fox Searchlight Pictures}, {Lakeshore Entertainment}, {Addis Wechsler Pictures}",US,1998-01-16,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Mystery, Horror, Science Fiction",9424,tt0134619,Disturbing Behavior,"{Village Roadshow Pictures}, {Beacon Communications}, {Hoyts Film Partnership}, {Metro-Goldwyn-Mayer (MGM)}, {Behavioral Problem Productions Ltd.}","AU, US",1998-07-24,17507368,84,"[{'iso_639_1': 'en', 'name': 'English'}]"
10000000,"Comedy, Crime",9835,tt0120741,Jane Austen's Mafia!,"{Tapestry Films}, {Touchstone Pictures}",US,1998-07-24,19000000,84,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]"
70000000,"Drama, History, War",857,tt0120815,Saving Private Ryan,"{Paramount Pictures}, {DreamWorks SKG}, {Amblin Entertainment}, {Mutual Film Company}, {Mark Gordon Productions}",US,1998-07-24,481840909,169,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
0,"Comedy, Romance",17539,tt0137386,Billy's Hollywood Screen Kiss,{Revolutionary Eye LLC},US,1998-07-24,2020700,92,"[{'iso_639_1': 'en', 'name': 'English'}]"
50000000,"Action, Adventure, Crime, Drama, Mystery, Thriller",9631,tt0120768,The Negotiator,"{Regency Enterprises}, {Warner Bros.}","DE, US",1998-07-29,44547681,140,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Family",9820,tt0120783,The Parent Trap,{Walt Disney Pictures},US,1998-07-28,0,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]"
0,Comedy,14013,tt0131857,BASEketball,"{Universal Pictures}, {Zucker Brothers Productions}",US,1998-07-28,7027290,103,"[{'iso_639_1': 'en', 'name': 'English'}]"
17000000,"Horror, Thriller",11675,tt0120694,Halloween: H20,{Dimension Films},US,1998-08-05,55041738,86,"[{'iso_639_1': 'en', 'name': 'English'}]"
26000000,"Drama, Romance, Comedy",9454,tt0120631,Ever After: A Cinderella Story,{Twentieth Century Fox Film Corporation},US,1998-07-31,65705772,121,"[{'iso_639_1': 'en', 'name': 'English'}]"
73000000,"Crime, Mystery",8688,tt0120832,Snake Eyes,"{Paramount Pictures}, {DeBart}, {Touchstone Pictures}, {'name': ""Mel's Cite du Cinema"", 'id': 54502}","CA, US",1998-08-07,103891409,98,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
300000,Drama,118452,tt0128214,"First Love, Last Rites","{Forensic Films}, {Toast Films}",US,1998-08-07,40542,94,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Crime",16155,tt0120813,Safe Men,"{October Films}, {Andell Entertainment}, {Blue Guitar Films}",US,1998-08-17,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Family",21661,tt0140796,Air Bud: Golden Receiver,{Dimension Films},"CA, US",1998-08-14,10224116,90,"[{'iso_639_1': 'en', 'name': 'English'}]"
60000000,Thriller,9320,tt0118661,The Avengers,"{Jerry Weintraub Productions}, {Warner Bros.}",US,1998-08-13,48585416,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
20000000,"Comedy, Drama, Romance",33644,tt0120703,How Stella Got Her Groove Back,{Twentieth Century Fox Film Corporation},US,1998-08-14,37672350,124,"[{'iso_639_1': 'en', 'name': 'English'}]"
5000000,"Comedy, Drama",14662,tt0120831,Slums of Beverly Hills,{Fox Searchlight Pictures},US,1998-08-14,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]"
5000000,"Drama, Comedy",77469,tt0119517,Your Friends & Neighbors,"{Propaganda Films}, {PolyGram Filmed Entertainment}",US,1998-02-04,4710749,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Thriller, Romance",10278,tt0124595,Return to Paradise,"{Propaganda Films}, {PolyGram Filmed Entertainment}, {Tetragram}",US,1998-08-10,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]"
45000000,"Horror, Action",36647,tt0120611,Blade,"{New Line Cinema}, {Amen Ra Films}, {Imaginary Forces}, {Marvel Enterprises}",US,1998-08-21,131183530,120,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Music, Romance",17915,tt0120576,Dance with Me,"{Columbia Pictures}, {Mandalay Entertainment}",US,1998-08-21,15,126,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,14557,tt0118301,Dead Man on Campus,"{Paramount Pictures}, {MTV Films}",US,1998-08-21,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Adventure, Comedy",9417,tt0120901,Wrongfully Accused,"{Pathé Films}, {Warner Bros.}, {Morgan Creek Productions}",US,1998-08-21,0,87,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama, Romance",41469,tt0119778,Next Stop Wonderland,,US,1998-08-21,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,19381,tt0120692,All I Wanna Do,,"CA, IT, US",1998-08-21,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Romance, Drama",161795,tt0119033,Déjà Vu,"{Rainbow Film Company, The}, {Revere Entertainment}, {Jagtoria Films}",US,1998-04-22,0,117,"[{'iso_639_1': 'en', 'name': 'English'}]"
13000000,"Music, Drama",3682,tt0120577,54,"{Redeemable Features}, {FilmColony}, {Miramax}, {Dollface}",US,1998-08-28,16757163,106,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,Comedy,14577,tt0120654,Dirty Work,"{Robert Simonds Productions}, {Metro-Goldwyn-Mayer (MGM)}","CA, US",1998-06-12,0,82,"[{'iso_639_1': 'en', 'name': 'English'}]"
33000000,"Action, Adventure, Thriller",37498,tt0120724,Knock Off,"{TriStar Pictures}, {Film Workshop}, {MDP Worldwide}, {Knock Films A.V.V.}, {'name': ""Val D'Oro Entertainment"", 'id': 21849}","AW, HK, US",1998-09-04,0,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
0,"Drama, Thriller, Crime, Romance",28047,tt0119892,Phoenix,,US,1998-09-04,0,107,"[{'iso_639_1': 'en', 'name': 'English'}]"
12000000,"Drama, Crime",10220,tt0128442,Rounders,"{Miramax Films}, {Spanky Pictures}",US,1998-09-11,22921898,121,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]"
0,"Western, Action, Drama, History",69848,tt0120775,One Man's Hero,"{Filmax}, {Silver Lion Films}, {Televisa S.A. de C.V.}, {Arco Films S.L}, {Hool/Macdonald Productions}, {Producciones San Patricia}","US, MX, ES",1999-08-02,0,121,"[{'iso_639_1': 'en', 'name': 'English'}]"
20000000,"Comedy, Drama, Family",22796,tt0124879,Simon Birch,"{Caravan Pictures}, {Hollywood Pictures}",US,1998-09-11,18253415,114,"[{'iso_639_1': 'en', 'name': 'English'}]"
25000000,Drama,22256,tt0119934,Without Limits,"{Cruise/Wagner Productions}, {Warner Bros.}",US,1998-09-11,777423,117,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Drama, Romance",22318,tt0120788,Permanent Midnight,"{JD Productions}, {Artisan Entertainment}",US,1998-09-12,0,88,"[{'iso_639_1': 'en', 'name': 'English'}]"
