budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
6000000,"Drama, Horror, Thriller",14223,tt0486051,Wind Chill,"{Section Eight}, {TriStar Pictures}, {Blueprint Pictures}","CA, GB, US",2007-04-27,0,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'es', 'name': 'Español'}]"
0,"Comedy, Drama",13068,tt0477078,Rocket Science,"{HBO Films}, {W B I Films}, {Rocket Science Inc.}, {Duly Noted}",US,2007-01-19,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]"
6000000,"Comedy, Family",14144,tt0462244,Daddy Day Camp,"{Revolution Studios}, {TriStar Pictures}",US,2007-08-08,18197398,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
80000000,"Science Fiction, Thriller",4858,tt0427392,The Invasion,"{Village Roadshow Pictures}, {Vertigo Entertainment}, {Silver Pictures}, {Warner Bros.}","US, AU",2007-08-17,15071514,99,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]"
25000000,"Action, Thriller, Crime",10431,tt0499556,War,"{Mosaic Media Group}, {Current Entertainment}, {Lionsgate}, {Fierce Entertainment}, {Province of British Columbia Production Services Tax Credit}, {Rogue Films}","US, CA",2007-08-24,40452643,103,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]"
0,"Drama, Action, Thriller, Crime",15156,tt0775488,Illegal Tender,,US,2007-08-24,3106835,108,"[{'iso_639_1': 'en', 'name': 'English'}]"
20000000,"Comedy, Drama, Romance",12435,tt0489237,The Nanny Diaries,"{The Weinstein Company}, {FilmColony}",US,2007-08-24,47738099,106,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,Horror,2082,tt0373883,Halloween,"{Dimension Films}, {Spectacle Entertainment Group}, {Nightfall Productions}",US,2007-08-31,80253908,109,"[{'iso_639_1': 'en', 'name': 'English'}]"
20000000,"Action, Crime, Drama, Thriller",11835,tt0804461,Death Sentence,"{Twentieth Century Fox Film Corporation}, {Dune Entertainment}, {Baldwin Entertainment Group}, {Hyde Park Entertainment}, {Brass Hat Films}",US,2007-08-31,16974459,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Horror, Thriller",10961,tt0437857,Behind the Mask: The Rise of Leslie Vernon,,US,2006-10-13,69136,92,"[{'iso_639_1': 'en', 'name': 'English'}]"
